"Composant Nom du composant tel qu'il est exporte par le DS | LECON TRANSVERSALE (ligne OrigamSection retiree le 2026-08-26 ; verdict bloquant pose le 2026-08-21 par scribe-tableau-2 ; ticket #453) : composant EXPORTE dans le package npm alors qu'il etait un stub vide - <div> sans aucun <slot/>, zero props, zero defineSlots. Le .md etait honnete (bandeau WIP explicite) ; la story ne l'etait PAS : ses Variants Default et Slots - Default passaient du contenu enfant que le composant ne pouvait pas afficher, donc une boite vide alors que le control Content pretendait agir dessus. A retenir : une story qui expose un control sans effet ment plus fort qu'une doc absente, et un verdict bloquant inscrit ici ne vaut que s'il ressort en ticket.",Famille Dossier de la famille dans components/ — une famille se deplace d'un bloc,Composants dans la famille Nombre de composants dans la famille — indique le poids de l'inspection,C1 Rendu distinct Chaque valeur de prop produit-elle un rendu DISTINCT ? Pas la classe emise : la regle SCSS existe-t-elle et le style calcule change-t-il ?,"C2 Canal du theme Le canal du theme est-il intact ? Aucune valeur en dur (px, couleur) n'ecrase un token --origam-xxx---*",C3 Reactivite Changer la prop APRES le montage change-t-il le rendu ? Attendre nextTick (souvent 2 fois) avant de lire le DOM,"C4 ADR-005 ADR-005 : aucune lecture eagerly dans le corps de setup() — le resolveur ecrit dans beforeCreate, donc APRES","C5 Emits assertes Les emits declares partent-ils reellement, et un test le prouve-t-il ? Verifier que emit( est bien appele quelque part","C6 Semantique / a11y HTML semantique et a11y : element natif plutot que div, pas d'ARIA redondant, content model respecte, aucun attribut parasite qui fuit",C7 Story + doc Story et doc refletent-elles l'API vivante ? Distinguer la doc ABSENTE de la doc MENSONGERE,"C8 Zero chaine en dur Zero chaine en dur destinee a l'utilisateur, y compris aria-label, placeholder et valeurs par defaut de props","Gravite max Gravite du pire defaut trouve : bloquant = perte de donnees, prop morte, a11y cassee",Statut Ou en est l'inspection de ce composant,Inspecteur,Date,Preuve / lien,Ticket,Notes,"Module cible Module npm installable dans lequel ira ce composant (#14 / ADR-006). A TRANCHER par le mainteneur : l'affectation est une decision, pas une deduction","Dependances inter-familles MESURE : familles dont ce composant consomme un symbole (type, enum, const, interface). Commons exclu. Un tiret = aucune. Ces liens sont ce qui bloque le decoupage en modules","defineProps + interface defineProps<IXxxProps>() typé par générique, interface I-préfixée rangée dans src/interfaces/**","defineEmits + interface defineEmits<IXxxEmits>() typé par générique, interface I-préfixée dans src/interfaces/** ; sans objet si aucun emit relais atteignable","defineSlots + interface defineSlots<IXxxSlots>() typé par générique, interface I-préfixée dans src/interfaces/** ; sans objet si aucun <slot> dans le template, OU si les slots sont forwardes dynamiquement (v-for sur $slots) : un critere techniquement impossible a satisfaire ne s'applique pas. Cas OrigamChart et OrigamContextualMenu — passthroughs transparents ou typer defineSlots casse la compilation (TS7053) ou ment sur la surface acceptee.",Remarque,col24,col25
OrigamItemGroup,ItemGroup,2.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,agent QA,2026-08-20 / fc64f30c,"C1: conforme - disabled/modelValue/multiple/mandatory/max/selectedClass/tag pilotent tous un comportement distinct dans useGroup() (select/step/forceMandatoryValue), tag change l'element DOM, selectedClass se propage aux origam-item enfants via OrigamDefaultsProvider. C2: conforme - aucun tokens/component/item-group*.json, aucune regle CSS .origam-item-group nulle part (grep confirme) - headless assume comme OrigamItem. C3/C4: conforme - useVModel() (deja durci ADR-005, seed lazy documentee dans le composable) + usePassedProps() explicitement redocumente 'MUST be re-read on every resolution', tout passe par computed(); absent de setup-reads.mjs. C5: conforme - defineEmits<IItemGroupEmits>() est bien appele (contrairement a OrigamItem), update:modelValue part reellement via vm.emit() dans useVModel (grep confirme la ligne d'appel). C6: conforme - meme doc que OrigamItem (OrigamItemGroup.md:246-268), absence d'ARIA assumee et illustree; OrigamDefaultsProvider est structurellement transparent (slot seul), aucun wrapper DOM ajoute. C7: conforme - story Functional/Events/Slots/Default couvre les 7 props (disabled, multiple, mandatory, max, selectedClass, tag, modelValue) - verifie par grep. C8: conforme - aucune chaine visible, confirme par grep et harnais.",-,"Composant propre - aucun defaut trouve sur les 8 criteres, contrairement a son composant enfant OrigamItem (mineur) et a OrigamInput (bloquant) inspectes juste avant. Design headless coherent et bien documente en commun avec OrigamItem. Composable useVModel deja durci contre le piege ADR-005 (commentaire long dans le fichier source datant d'un correctif anterieur) et usePassedProps explicitement concu pour rester reactif. Pas de faux positif a signaler - verification directe sur les 8 criteres, rien a corriger ici.",,-,conforme,conforme,conforme,,,
OrigamKbd,Kbd,1.0,conforme,defaut,conforme,conforme,conforme,conforme,conforme,conforme,majeur,inspecte,agent QA,2026-08-20 / fc64f30c,"C1: conforme - text/combination/separator produisent un rendu textuel distinct; variant (outlined/filled/tonal) change reellement background-color/border-color/box-shadow (verifie dans le SCSS, lignes 185-207); size/rounded/border/color/bgColor passent par les composables Commons standards. C2: defaut majeur - tokens/component/kbd.json declare filled.background-color/border-width, outlined.background-color/border-width, tonal.background-color/border-width (6 tokens d'etat) mais AUCUN n'est lu via var() dans le SCSS - grep de --origam-kbd--filled/--outlined/--tonal = 0 occurrence; la SCSS reimplante les memes valeurs en dur directement dans les regles --variant-*, court-circuitant le pipeline de tokens. Seul --origam-kbd__separator---color (BEM enfant) est correctement branche. Modifier kbd.filled.background-color a la source n'aurait AUCUN effet sur le rendu. C3/C4: conforme - tout passe par computed() et les composables Commons standards, absent de setup-reads.mjs. C5: conforme - aucun emit declare ni necessaire (composant d'affichage pur), aucun emit( dans le fichier. C6: conforme - kbd natif, imbrication kbd dans kbd valide pour le mode combination (kbd est phrasing content), separateur en span aria-hidden=true correctement masque aux AT. C7: conforme - story couvre les 9 props (text/combination/separator/variant/color/bgColor/size/rounded/border, 4-6 occurrences chacune); doc liste les CSS vars de base sans surpromettre les vars d'etat cassees. C8: conforme - separator='+' est un symbole universel, pas du texte a traduire; aucun aria-label/title/placeholder statique, confirme par harnais.","#436 (C2: 6 tokens d'etat filled/outlined/tonal.background-color/border-width jamais lus par le SCSS, valeurs dupliquees en dur dans les regles --variant-*)","Composant d'affichage pur (kbd natif), tres propre sur l'accessibilite et la semantique - meilleur exemple vu jusqu'ici sur C6. Le seul vrai defaut est un canal de theme casse mais localise : les 3 variants (outlined/filled/tonal) fonctionnent visuellement aujourd'hui car les valeurs sont dupliquees en dur, mais le token JSON source-de-verite ment sur ce qui est reellement configurable - un designer qui change kbd.filled.background-color dans les tokens ne verra rien bouger. Meme famille de bug que sur InlineEdit (editor.*/action-btn.* orphelins) et Input (details/prepend/append/density-comfortable) - troisieme occurrence du meme pattern en 5 composants inspectes, ca commence a ressembler a une regression systemique plutot qu'a des accidents isoles. Aucun faux positif a signaler.",,-,conforme,conforme,conforme,,,
OrigamLabel,Label,1.0,defaut,conforme,conforme,conforme,conforme,defaut,defaut,conforme,mineur,inspecte,agent QA,2026-08-20 / fc64f30c,"C1: defaut mineur - fontFamily (ITypographyProps) emet bien --origam-label---font-family mais AUCUNE regle SCSS ne le lit (grep confirme) - deja auto-documente dans un commentaire du fichier source ('label SCSS has no font-family rule - no visual effect'), bug connu mais pas corrige; le reste (text/floating/required/color/bgColor/size Commons) produit un rendu distinct verifie. C2: conforme - --origam-label---color/font-size/font-weight/line-height/letter-spacing/pointer-events/transition-* et --origam-label__floating---font-size/visibility et --origam-label---required-indicator-color TOUS correspondent exactement aux noms reellement emis par le pipeline (verifie via tokens.type.ts + main.css compile); floating=invisible par defaut est un choix assume et documente (clone dans le notch d'OrigamField). C3/C4: conforme - tout passe par computed(), absent de setup-reads.mjs. C5: conforme - defineEmits<ILabelEmits>() assigne, emits('click', e) reellement appele et cable sur @click. C6: defaut mineur - :name=""name"" est pose sur <label> alors que 'name' n'est PAS un attribut global HTML ni valide sur <label> - attribut parasite qui fuit, confirme aussi dans l'exemple du doc lui-meme (OrigamLabel.md:120); verifie que ce n'est PAS une regression fonctionnelle: OrigamSelectionControl cable name SEPAREMENT sur le vrai <input>, le groupement radio natif marche. C7: defaut mineur - 2 des 11 lignes du tableau CSS Variables du doc sont FAUSSES: doc dit --origam-label--floating---font-size/visibility (etat), le pipeline emet --origam-label__floating---font-size/visibility (BEM enfant); doc dit --origam-label__required-indicator---color, le pipeline emet --origam-label---required-indicator-color (plat). Un consommateur qui copie ces noms depuis le doc echoue silencieusement. C8: conforme - '*' est un symbole universel non traduit, aucun aria-label/title/placeholder statique, harnais silencieux.","a ouvrir (C7 mineur: 2 noms de var CSS faux dans OrigamLabel.md - floating et required-indicator; C6 mineur: attribut name invalide sur label; C1 mineur: fontFamily mort, deja connu en commentaire source) ; CORRIGE #381 (df0e20e0) (useStyle id) ; OUVERT #458 (verifie au runtime ; C7 = 3 lignes de doc fausses, pas 2 : l.141, 142, 143 + l.26 en prose ; + props.tag dans le template)","Trois defauts mineurs distincts, aucun majeur/bloquant - le plus interessant a verifier etait le prop floating: au premier abord ca ressemblait a un canal de theme casse (visibility:hidden partout, jamais override), mais c'est en realite un design assume et bien documente (le clone invisible sert de mesure pour le notch d'OrigamField, la vraie animation vient des classes propres de Field) - verification approfondie qui a EVITE un faux positif majeur. En revanche la doc a un vrai probleme de synchronisation nom-de-variable sur 2 lignes (floating + required-indicator) - la SCSS elle-meme est correcte, seule la doc ment. fontFamily mort est deja auto-signale par un commentaire dans le code source, donc pas une surprise pour l'equipe mais toujours pas corrige. Aucun autre faux positif detecte. CORRIGE #381 (df0e20e0) : useStyle(labelStyles, () => props.id) ajoute, id consommateur atteint desormais la racine. Les 3 defauts mineurs ci-dessus restent ouverts, non lies a l'id. Commit cc2c8daf.",,-,conforme,conforme,conforme,,,
OrigamLayout,Layout,1.0,conforme,defaut,conforme,conforme,conforme,conforme,conforme,conforme,majeur,inspecte,agent QA,2026-08-20 / fc64f30c,"C1: conforme - fullHeight bascule width:100vw/min-height:100vh vs 100%/100% (regle SCSS --full-height dediee, verifie); overlaps est reellement consomme dans computedOverlaps() du composable (calcul d'empietement entre deux layout-items nommes via la syntaxe a:b), pas decoratif; les 7 axes Commons (dimension/margin/padding/rounded/elevation/bgColor/color/border) sont tous integres dans layStyles/layClasses. C2: defaut majeur - tokens/component/layout.json declare 11 tokens (background-color, display, flex, flex-direction, overflow, max-width, position, wrapper.width/height/max-height/max-width) et AUCUN n'est lu via var() nulle part dans le DS (grep exhaustif fichier par fichier, 0 hit partout, y compris un faux-positif ecarte sur 'position' qui matche en realite les vars dynamiques --origam-layout---position-left/right/top/bottom du composable, sans rapport avec le token statique position:relative). La SCSS hardcode des valeurs DIFFERENTES de celles du token (height:100% au lieu de layout.wrapper.height=100vh; aucune regle background-color/display/overflow du tout). Pire cas du pattern vu jusqu'ici: 100% des tokens orphelins. C3/C4: conforme - useCreateLayout et tous les composables Commons passent par computed()/reactive(), absent de setup-reads.mjs. C5: conforme - aucun emit declare ni present dans le fichier, coherent avec un composant de coordination sans evenement. C6: conforme - div generique justifie (wrapper de layout applicatif, aucune semantique native ne convient mieux). C7: conforme - le tableau CSS Variables du doc ne liste QUE les 4 vars position-* reellement fonctionnelles, il ne surpromet pas les 11 tokens morts - doc honnete par omission, pas mensongere. C8: conforme - aucune chaine visible, absent du harnais.",#436 (C2 majeur: tokens/component/layout.json entierement orphelin - 11/11 tokens jamais lus par le SCSS),"Composant infra critique (racine du systeme de coordination App/Drawer/BottomNav/SystemBar via useCreateLayout) mais son PROPRE fichier de tokens est integralement mort - aucune des 11 entrees de layout.json n'atteint le SCSS, contrairement aux position-* qui sont dynamiques et fonctionnent via une toute autre voie (le composable, pas le token statique). Meme famille de bug que InlineEdit/Input/Kbd mais ici c'est l'integralite du fichier de tokens qui est concernee, pas une partie - a signaler en priorite pour la remediation du pipeline de tokens. Le reste du composant (props fonctionnelles fullHeight/overlaps, composables Commons, story, doc) est solide et bien teste. Aucun faux positif a signaler.",,-,conforme,conforme,conforme,,,
OrigamLazy,Lazy,1.0,conforme,defaut,conforme,conforme,conforme,conforme,conforme,conforme,majeur,inspecte,agent QA,2026-08-20 / fc64f30c,"C1: conforme - modelValue (isActive) bascule v-if + aria-busy; options (root/rootMargin/threshold) alimente reellement le v-intersect (comportement d'activation different selon la config); tag change l'element DOM; transition pilote le composant/props d'OrigamTransition. C2: defaut majeur - tokens/component/lazy.json declare 4 tokens (transition-duration, transition-timing-function, placeholder-min-height, placeholder-background-color) et AUCUN n'est lu nulle part dans le DS (grep confirme, 0 hit). Plus grave qu'un simple canal casse: le commentaire du token JSON decrit une fonctionnalite de PLACEHOLDER qui n'existe PAS dans le template - aucune trace du mot placeholder dans OrigamLazy.vue. Avant intersection, le wrapper est un element vide sans aucun visuel, pas le squelette que les tokens laissent presager. C3/C4: conforme - useVModel (deja durci ADR-005) + computed() partout, absent de setup-reads.mjs. C5: conforme - ILazyEmits (update:modelValue) part reellement via useVModel -> vm.emit(), independant du defineEmits() local non assigne; confirme par l'e2e lazy.spec.ts. C6: conforme - component :is=tag generique justifie (wrapper technique), aria-busy correctement bascule (true quand inactif, attribut retire quand actif). C7: conforme - story couvre les 4 props (modelValue x9, options x5, tag x5, transition x3) + Variant Events - update:modelValue; doc ne mentionne pas le mot placeholder - honnete par omission. C8: conforme - aucune chaine visible, absent du harnais.","#436 (C2: 4 tokens lazy.json orphelins) + a ouvrir (la fonctionnalite placeholder qu'ils decrivent - min-height/background-color pendant l'attente d'intersection - n'existe pas dans le template, gap fonctionnel pas juste un token mort)","5e composant consecutif (InlineEdit, Input, Kbd, Layout, Lazy) avec le meme pattern : des tokens enregistres et actives dans $themes.json que le SCSS/template ne consomme jamais - ce n'est plus une coincidence composant par composant, ca ressemble a une etape manquante dans le pipeline entre l'auteur des tokens et l'implementation. Ici c'est particulierement visible parce que les noms des tokens (placeholder-min-height, placeholder-background-color) et le commentaire du JSON decrivent une fonctionnalite (afficher un squelette pendant l'attente du scroll) qui n'a jamais ete codee, pas seulement un canal CSS mal branche. Le reste du composant (intersection observer, v-model, transition, aria-busy) est solide, teste en TU et e2e. Aucun faux positif a signaler.",,Transition,conforme,conforme,conforme,,,
OrigamList,List,6.0,defaut,defaut,conforme,conforme,conforme,defaut,conforme,conforme,bloquant,inspecte,agent QA,2026-08-20 / fc64f30c,"C1: defaut - correction post-relecture (signalee par le mainteneur, ticket #424): transformListItem() ne pose jamais de champ type, donc les entrees divider/subheader rendent comme des ListItem casses (JSON brut affiche a l'ecran pour une entree sans title) au lieu du bon type de ligne - je ne l'avais pas repere a l'inspection initiale. Le reste tenait: nav/slim/disabled/density/lines produisent chacun un changement reel. C2: defaut majeur, #440 - deux bugs de nommage confirmes dans le SCSS de ce fichier: (a) --origam-list-subheader---nav-font-size (regle --nav, ligne 358) n'est LU NULLE PART, meme pas par OrigamListSubheader.vue qui ne lit que la variable de BASE --origam-list-subheader---font-size - effet 100% mort; (b) --origam-list-group---prepend-width (regle --slim, ligne 395) utilise un nom a simple-tiret alors que le pipeline emet --origam-list__group---prepend-width (double-underscore) - OrigamListGroup.vue lit la MEME variable a simple-tiret donc le contrat entre les deux composants marche, mais le token source de verite (list.json) n'atteint jamais aucun des deux. Le doc documente aussi 2 AUTRES tokens deja connus comme orphelins (border-radius 4 coins, border-width 4 cotes). C3/C4: conforme - absent de setup-reads.mjs, tout passe par computed()/composables reactifs (useNested, useItems). C5: conforme - les 4 emits declares partent tous via vm.emit() dans useNested, story a un Variant Events dedie a chacun. C6: defaut BLOQUANT, #424 - role=listbox pose sans condition sur la racine, mais AUCUN descendant n'a jamais role=option (grep exhaustif = 0 occurrence); le doc documente listbox+group mais omet totalement option. C7: conforme - le doc documente lui-meme le bug de type field dans une section Known gaps honnete (confirme par le mainteneur), donc pas mensongere sur ce point; story a un Variant Events par emit (4/4). C8: conforme - aucune chaine en dur, absent du harnais.","#424 (C1: transformListItem() ne pose jamais type -> divider/subheader rendent comme ListItem casses avec JSON brut a l'ecran; C6 BLOQUANT: role=listbox racine sans role=option descendant) + #440 (C2: --origam-list-subheader---nav-font-size mort, --origam-list-group---prepend-width desynchronise du pipeline) + CORRIGE #381 (df0e20e0) (useStyle id)","Corrige apres relecture du mainteneur: le bloquant a11y (role=listbox sans role=option) ET le bug fonctionnel (transformListItem() sans champ type -> items divider/subheader mal rendus, JSON brut visible) sont DEJA traces ensemble dans #424 - je n'avais vu que le premier volet a l'inspection initiale, le second m'avait echappe sur C1. Le doc lui-meme avoue le bug de type dans une section Known gaps citant fichier+ligne - donc C7 reste conforme sur ce point precis (une doc qui avoue un bug reel n'est pas mensongere), seul le trou role=option sur l'accessibilite n'etait pas documente, ce qui est neuf et deja integre au ticket. Les 2 bugs de nommage CSS (nav-font-size mort, prepend-width desynchronise) restent en #440. Colonne T deja corrigee a '-' precedemment (confirme par le mainteneur: aucune dependance vers Overlay/Transition mesuree au grep exact sur les 6 fichiers List). CORRIGE #381 (df0e20e0) : useStyle(listStyles, () => props.id) ajoute, id consommateur atteint desormais la racine. #424 et #440 restent ouverts, non lies a l'id. Commit cc2c8daf.",,-,conforme,conforme,conforme,,,
OrigamListChildren,List,6.0,defaut,conforme,conforme,conforme,conforme,conforme,defaut,conforme,majeur,inspecte,agent QA,2026-08-20 / fc64f30c,"C1: defaut majeur - returnObject (IListItemChildren) est accepte par le composant mais JAMAIS lu dans le script (grep confirme: zero occurrence de returnObject dans OrigamListChildren.vue); OrigamList.vue le transmet bien (:return-object=returnObject) et useItems() le consomme reellement COTE PARENT (items.composable.ts lignes 36+49), mais des que items atteint ListChildren, cette copie du prop ne sert plus a rien. Le reste (hasDivider/hasSubheader/hasChildren, dispatch divider/subheader/group/item) produit un rendu correctement distinct par type d'item. C2: conforme - aucun style, aucun fichier de tokens attendu ni present. C3/C4: conforme - tout passe par computed()/fonctions reactives appelees dans le template, absent de setup-reads.mjs. C5: conforme - aucun emit declare ni necessaire (pur composant de dispatch). C6: conforme a ce niveau - les div de structure sont transparentes pour l'AT (aucun role ajoute), le vrai defaut a11y (role=option manquant) est deja rapporte sur la ligne OrigamList, pas de nouveau probleme introduit ici. C7: defaut mineur - le .story.vue cable un HstCheckbox Return Object actif sur 6+ Variants qui laisse croire que le prop est testable/fonctionnel a ce niveau alors qu'il ne produit aucun effet observable sur origam-list-children directement. C8: conforme - aucune chaine en dur, absent du harnais.","a ouvrir (C1 majeur: returnObject accepte par IListItemChildren mais jamais lu dans OrigamListChildren.vue - prop morte a ce niveau, ne fonctionne que via le parent OrigamList; C7 mineur: story presente returnObject comme un controle testable via HstCheckbox alors qu'il n'a aucun effet ici)","Composant de dispatch pur (divider/subheader/group/item selon le type), pas de defaut a11y propre - le role=option manquant reste localise a la racine OrigamList (deja signale). Le seul vrai defaut ici: returnObject est un prop fantome au niveau de ce composant precis - il EXISTE et FONCTIONNE globalement (via useItems() dans le parent OrigamList), mais la copie forwardee jusqu'a OrigamListChildren ne sert a rien, et le story le presente comme testable a ce niveau via un checkbox actif sur 6 Variants. Pas un bug utilisateur grave (le comportement global marche via le chemin normal OrigamList -> ListChildren), mais une source de confusion API et un signal de refactor incomplet. Aucun faux positif a signaler.",,-,conforme,conforme,conforme,,,
OrigamListGroup,List,6.0,conforme,defaut,conforme,conforme,conforme,conforme,conforme,conforme,majeur,inspecte,agent QA,2026-08-20 / fc64f30c,"C1: conforme - fluid/expandIcon/collapseIcon/title/value/prependIcon/appendIcon produisent tous un changement reel verifie (classe --fluid avec regle SCSS, toggleIcon calcule differemment selon isOpen, title/value forwardes au ListItem activateur par defaut). C2: defaut majeur - les 5 tokens de list.json/group.* (list-indent-size, prepend-width, fluid-list-indent-size, header-active-opacity, header-active-hover-opacity) sont TOUS orphelins: le pipeline emet --origam-list__group---nom-plat (confirme via tokens.type.ts, 5/5) mais la SCSS de ce fichier lit 5 noms DIFFERENTS et INCOHERENTS entre eux: --origam-list-group---list-indent-size (tiret simple), --origam-list-group--fluid---list-indent-size (etat), --origam-list-group---prepend-width (tiret simple, meme bug que sur OrigamList.vue), --origam-list-group__header--active---opacity et --origam-list-group__header--active--hover---opacity (structure BEM+etat combinee). 100% des tokens de ce fichier sont deconnectes du pipeline - meme ampleur que Layout (11/11). C3/C4: conforme - useNestedItem/useList/useSsrBoot/useStateEffect sont des composables reactifs standards, absent de setup-reads.mjs. C5: conforme - click:activator declare ET emis (ligne 155, emits() bien assigne depuis defineEmits), story a un Variant Events dedie. C6: conforme - role=group avec aria-labelledby correctement implemente sur la zone d'items repliable/depliable - bonne pratique confirmee. C7: conforme - story couvre le seul emit via Events - click:activator. C8: conforme - les bindings title/aria-labelledby sont dynamiques (valeurs du consommateur), pas des chaines en dur; absent du harnais.","#436, #440 (C2: les 5 tokens de list.json group.* sont 100% orphelins - noms lus par la SCSS incoherents entre eux et avec le pipeline)","Contrairement a OrigamList (role=listbox sans role=option), OrigamListGroup fait les choses BIEN cote a11y (role=group + aria-labelledby, exemplaire). Le defaut ici est exclusivement C2: les 5 tokens list.json/group.* n'atteignent JAMAIS ce composant, avec un fait aggravant - les 5 noms lus par la SCSS ne suivent MEME PAS un pattern coherent entre eux (tiret simple, etat, BEM+etat combine), signe que le nommage n'a jamais ete verifie contre le pipeline reel au moment de l'ecriture. Deux de ces vars (list-indent-size, prepend-width) sont EN PLUS partagees avec OrigamList.vue (meme bug, deja signale sur cette ligne-la) donc le contrat entre les deux composants marche en interne, mais reste hors d'atteinte du theme. Colonne T a nouveau corrigee a '-' (grep exact ne trouve aucune dependance vers Form/Input/TextField, contrairement a la valeur pre-remplie).",,-,conforme,conforme,conforme,,,
OrigamListGroupActivator,List,6.0,conforme,conforme,conforme,conforme,conforme,conforme,conforme,conforme,aucun,inspecte,agent QA,2026-08-20 / fc64f30c,"C1: conforme - tag change bien l'element DOM (seul axe visuel disponible, pas de props Commons couleur/taille/etc sur ce composant). C2: conforme - aucun style, aucun fichier de tokens attendu ni present. C3/C4: conforme - useNestedGroupActivator() ne lit aucune prop du composant (juste inject/provide sur le contexte nested), aucun risque ADR-005 possible structurellement; absent de setup-reads.mjs. C5: conforme - aucun emit declare ni necessaire (marqueur de contexte pur). C6: conforme - component :is=tag generique justifie (wrapper de marquage invisible pour le systeme nested, pas de semantique propre a imposer). C7: conforme - story couvre tag + Slots - Default; doc dedie present. C8: conforme - aucune chaine en dur.",-,"Composant le plus simple inspecte a ce jour: un marqueur de contexte pur (useNestedGroupActivator empile isGroupActivator=true sur le provide ORIGAM_NESTED_KEY pour que le useNestedItem suivant se sache activateur, pas un noeud). Aucune prop visuelle, aucun style, aucun risque de reactivite (rien ne depend des props du composant lui-meme). Zero defaut sur les 8 criteres. Colonne T corrigee a '-' (la valeur pre-remplie Field, Progress ne correspond a aucune dependance mesuree par le grep exact demande).",,-,conforme,conforme,conforme,,,
OrigamListItem,List,6.0,defaut,defaut,conforme,conforme,conforme,defaut,defaut,conforme,bloquant,inspecte,agent QA,2026-08-20 / fc64f30c,"C1: defaut BLOQUANT - deux props morts confirmes: (a) slim n'a AUCUNE regle SCSS (grep --slim = seule la ligne d'assignation de classe, zero bloc &--slim), alors que le doc le decrit comme 'Reduced inner spacing' et le story le presente via HstCheckbox; (b) color (IColorProps, couleur de texte) est declare dans l'interface mais JAMAIS lu dans le script - seul bgColor est cable via useBackgroundColor(), confirme par grep 'props.color'/toRef(...,color) = 0 occurrence. Le reste (nav/lines/active/disabled/size/density) produit un rendu distinct verifie. C2: defaut majeur, #436 - tokens/component/list-item.json N'EXISTE PAS DU TOUT (confirme par find, seul file-field-list-item.json existe, sans rapport). Les ~50 references --origam-list-item---*/--origam-list-item__x---* dans le SCSS n'ont donc AUCUN token source - plus grosse instance du pattern #436 trouvee dans cette campagne (composant le plus utilise de la famille List). C3/C4: conforme - useLink/useNestedItem/useAdjacent/useStateEffect standards, tout passe par computed()/watch(), absent de setup-reads.mjs. C5: conforme - click/click:append/click:prepend partent tous reellement. C6: defaut BLOQUANT, #424 - aucun role=option sur ce composant qui EST l'enfant attendu du role=listbox racine d'OrigamList (deja trace, pas re-mesure). C7: defaut - le doc documente slim comme fonctionnel et le story le presente comme testable, alors qu'il n'a aucun effet - trouvaille NEUVE, distincte du bug type deja connu sur OrigamList. C8: conforme - aucune chaine en dur.","#424 (C6 BLOQUANT: absence de role=option, deja trace) + #436 (C2 majeur: tokens/component/list-item.json n'existe pas du tout - ~50 vars sans source, la plus grosse instance du pattern trouvee) + a ouvrir (C1 BLOQUANT: props slim et color totalement mortes, contredites par le doc et le story; C7: doc/story presentent slim comme fonctionnel)","Composant le plus dense inspecte a ce jour (SCSS tres soigne, commentaires d'ingenierie sur le box-model/density) mais avec le pire cas de tokens jamais vu: AUCUN fichier tokens/component/list-item.json n'existe pour ce composant qui est pourtant le plus reutilise de toute la famille List (rendu par List, potentiellement par Menu/Select en dropdown). Deux props BLOQUANTES confirmees independamment du probleme de tokens: slim (documente et presente en story, zero effet reel) et color (texte, jamais cable du tout - seul bgColor l'est). Le role=option manquant est deja trace dans #424, je ne l'ai pas re-mesure, juste confirme sa presence sur ce fichier precis. A signaler au mainteneur: ce composant merite une priorite haute dans le remede #436 vu son taux d'utilisation. Aucun faux positif a signaler cette fois - tout ce qui est marque defaut est confirme par grep direct.",,-,conforme,conforme,conforme,,,
OrigamListSubheader,List,6.0,conforme,defaut,conforme,conforme,conforme,conforme,conforme,conforme,majeur,inspecte,agent QA,2026-08-20 / fc64f30c,"C1: conforme - title/color/bgColor produisent un rendu distinct via useBothColor; inset (regle --inset) et sticky (regle --sticky, position:sticky reelle) sont des changements structurels reels independants du bug de tokens ci-dessous. C2: defaut majeur, #440 - les 9 tokens applicables de list.json/subheader.* (color, font-size, font-weight, line-height, min-height, padding-inline-end, transition-duration, transition-easing, inset-indent-padding) sont TOUS lus par ce fichier sous le nom --origam-list-subheader---* (simple tiret) alors que le pipeline emet --origam-list__subheader---* (double-underscore, confirme via tokens.type.ts: 10 entrees, correspondant aux 10 cles JSON dont nav-font-size deja signale mort sur OrigamList). 100% de la surface CSS de ce composant est donc deconnectee du theme malgre un fichier de tokens complet, enregistre et construit - pur bug de nommage, pas un fichier manquant. C3/C4: conforme - tout passe par computed(), absent de setup-reads.mjs. C5: conforme - aucun emit declare ni necessaire. C6: conforme - aucun role ARIA, correct pour un sous-titre decoratif de liste (pas un role=option). C7: conforme - le doc documente les memes noms (dash) que ce que la SCSS lit reellement - une surcharge manuelle via :style fonctionnerait, la doc est technique exacte, seul le canal AUTOMATIQUE via le theme est casse (voir C2). C8: conforme - aucune chaine en dur.","#440 (C2 majeur: 9/9 tokens subheader.* lus sous le mauvais nom --origam-list-subheader--- au lieu de --origam-list__subheader---, 100% deconnectes du theme malgre un fichier de tokens complet et enregistre)","Complete le tableau des 3 fichiers List deja bloques sur le meme bug de nommage (List.vue et ListGroup.vue lisent aussi des noms a simple-tiret la ou le pipeline emet du double-underscore) - ici c'est le cas le plus complet: 9 tokens sur 9 sont concernes, pas une partie. Interessant: la doc documente les MEMES noms fautifs que la SCSS (dash), donc une surcharge manuelle via :style ou CSS global fonctionnerait reellement si un consommateur copiait le nom depuis la doc - contrairement au cas Label ou la doc avait un TROISIEME nom different a la fois du composant et du pipeline. Ici la doc n'est donc pas mensongere, juste le pont automatique theme->composant est rompu. Aucun faux positif a signaler.",,-,conforme,conforme,conforme,,,
